ORDER_ID,CUSTOMER_ID,ORDER_DATE,TOTAL_AMOUNT,DISCOUNT_AMOUNT,TAX_AMOUNT,STATUS,CREATED_AT
95,96,2025-05-25,0,6.63,17.11,PENDING,2026-01-10 06:28:03.0
96,97,2025-05-08,0,46.15,10.4,COMPLETED,2025-04-30 20:35:24.0
97,98,2025-04-25,0,27.83,4.98,COMPLETED,2025-02-04 14:31:26.0
98,99,2026-01-11,0,30.66,12.88,COMPLETED,2025-04-05 05:37:09.0
99,100,2025-12-26,0,12.53,10.97,COMPLETED,2025-11-11 01:41:08.0
100,101,2025-02-24,0,13.81,2.25,CANCELLED,2025-02-14 19:01:35.0
101,102,2025-03-30,0,43.53,3.09,COMPLETED,2025-12-14 13:56:55.0
102,103,2025-12-06,0,11.83,21.74,COMPLETED,2025-06-05 08:32:04.0
103,104,2025-02-28,0,38.62,6.98,COMPLETED,2025-03-06 21:50:13.0
104,105,2025-08-08,0,40.75,23.44,COMPLETED,2025-09-01 13:47:58.0
105,106,2025-05-28,0,8.11,20.49,PENDING,2025-11-04 05:33:29.0
106,107,2025-12-16,0,28.59,22.19,COMPLETED,2025-08-27 23:22:29.0
107,108,2026-01-03,0,26.02,21.01,COMPLETED,2025-06-29 03:08:39.0
108,109,2025-09-15,0,37.49,28.63,COMPLETED,2025-08-10 01:46:36.0
109,110,2025-02-21,0,33.24,3.48,COMPLETED,2025-04-01 20:50:49.0
110,111,2025-12-19,0,6.77,10.06,CANCELLED,2025-06-10 08:28:19.0
111,112,2025-10-11,0,20.47,24.06,COMPLETED,2025-08-07 01:49:28.0
112,113,2025-09-01,0,13.25,5.08,COMPLETED,2025-05-11 08:19:38.0
113,114,2025-10-18,0,5.72,11.49,COMPLETED,2025-01-29 01:40:43.0
114,115,2025-04-25,0,39.83,9.38,COMPLETED,2025-03-22 01:50:30.0
115,116,2025-09-16,0,39.29,19.03,PENDING,2025-08-09 19:24:32.0
116,117,2025-02-28,0,35.06,2,COMPLETED,2025-04-08 13:49:25.0
117,118,2025-08-29,0,18.14,19.58,COMPLETED,2025-07-15 03:32:07.0
118,119,2025-03-15,0,8.88,28.81,COMPLETED,2025-02-24 20:01:39.0
119,120,2025-08-15,0,26.03,19.14,COMPLETED,2025-08-05 19:32:52.0
120,121,2025-04-29,0,44.21,2.57,CANCELLED,2025-10-09 18:15:18.0
121,122,2025-07-20,0,7.33,15.48,COMPLETED,2025-12-26 17:57:23.0
122,123,2025-07-15,0,15.89,8,COMPLETED,2025-10-25 23:06:18.0
123,124,2025-08-23,0,36.82,7.16,COMPLETED,2025-02-04 07:04:15.0
124,125,2025-04-30,0,20.62,11.44,COMPLETED,2025-05-28 13:07:24.0
125,126,2025-05-26,0,24.62,28.07,PENDING,2025-11-01 06:15:41.0
126,127,2025-10-06,0,9.48,17.24,COMPLETED,2025-05-21 03:19:40.0
127,128,2025-07-20,0,49.43,12.48,COMPLETED,2025-08-09 21:29:28.0
128,129,2025-05-22,0,20.44,3.16,COMPLETED,2025-03-24 22:30:49.0
129,130,2025-03-22,0,10.45,14.74,COMPLETED,2025-08-30 20:41:52.0
130,131,2025-02-15,0,17.41,29.48,CANCELLED,2025-04-09 06:27:14.0
131,132,2025-01-13,0,43.39,13.71,COMPLETED,2025-06-29 12:30:42.0
132,133,2025-08-07,0,19.36,15.87,COMPLETED,2025-12-25 19:41:25.0
133,134,2025-02-17,0,30.15,19.48,COMPLETED,2025-01-21 20:05:58.0
134,135,2025-01-24,0,32.63,27.38,COMPLETED,2025-01-25 16:50:35.0
135,136,2025-12-29,0,45.29,14.73,PENDING,2025-11-22 02:56:14.0
136,137,2025-06-13,0,19.22,1.64,COMPLETED,2025-10-30 10:17:50.0
137,138,2025-03-16,0,35.88,9.99,COMPLETED,2025-06-01 17:31:01.0
138,139,2025-05-30,0,20.39,12.41,COMPLETED,2025-05-26 09:56:15.0
139,140,2025-09-29,0,21.73,22.45,COMPLETED,2025-05-01 14:49:20.0
140,141,2025-08-13,0,8.27,21.24,CANCELLED,2025-08-24 17:28:03.0
141,142,2025-06-27,0,6.49,12.73,COMPLETED,2025-06-02 06:26:39.0
142,143,2025-01-29,0,49.29,23.42,COMPLETED,2025-03-08 01:32:46.0
143,144,2026-01-06,0,47.62,15.82,COMPLETED,2025-07-16 05:43:52.0
144,145,2025-06-11,0,5.19,29.07,COMPLETED,2025-03-17 07:20:18.0
145,146,2025-06-30,0,38.67,5.6,PENDING,2025-12-22 23:49:28.0
146,147,2025-05-16,0,45.77,20.82,COMPLETED,2025-11-03 10:25:41.0
147,148,2025-02-07,0,21.95,20.72,COMPLETED,2025-08-23 17:19:58.0
148,149,2025-05-07,0,32.34,11.24,COMPLETED,2025-06-13 10:46:13.0
149,150,2025-02-08,0,44.51,22.96,COMPLETED,2025-06-29 02:59:27.0
150,151,2025-09-25,0,40.78,2.63,CANCELLED,2025-03-11 00:21:07.0
151,152,2025-05-26,0,41.95,4.27,COMPLETED,2025-10-26 07:58:20.0
152,153,2025-09-08,0,21.25,14.41,COMPLETED,2025-03-16 23:30:31.0
153,154,2025-11-29,0,45.42,23.02,COMPLETED,2025-12-14 11:00:35.0
154,155,2025-01-21,0,22.16,17.8,COMPLETED,2025-07-22 21:02:21.0
155,156,2025-08-16,0,8.81,1.16,PENDING,2025-05-23 04:41:05.0
156,157,2025-06-11,0,10.68,13.71,COMPLETED,2025-02-02 14:00:45.0
157,158,2025-03-18,0,17.07,2.09,COMPLETED,2025-02-21 20:00:05.0
158,159,2025-03-27,0,6.09,20.49,COMPLETED,2025-11-10 15:57:26.0
159,160,2025-06-19,0,17.21,8.86,COMPLETED,2026-01-09 18:31:28.0
160,161,2025-10-07,0,11.56,1.6,CANCELLED,2025-12-25 00:00:42.0
161,162,2025-10-04,0,24.77,14.61,COMPLETED,2025-05-15 08:45:31.0
162,163,2025-01-17,0,46.96,2.81,COMPLETED,2025-09-11 09:39:57.0
163,164,2025-01-27,0,39.32,6.39,COMPLETED,2025-02-21 20:38:14.0
164,165,2025-02-11,0,27.25,23.9,COMPLETED,2025-07-29 13:14:49.0
165,166,2025-12-11,0,11.76,4.09,PENDING,2025-11-20 10:15:23.0
166,167,2025-08-25,0,11.05,1.03,COMPLETED,2025-05-06 13:04:55.0
167,168,2025-11-11,0,6.37,3.53,COMPLETED,2025-10-15 00:15:12.0
168,169,2025-07-04,0,32,16.31,COMPLETED,2025-05-08 05:57:52.0
169,170,2025-07-05,0,26.36,9.96,COMPLETED,2025-06-15 04:29:23.0
170,171,2025-12-22,0,27.52,9.21,CANCELLED,2025-03-31 16:21:49.0
171,172,2026-01-01,0,15.05,23.73,COMPLETED,2025-04-25 03:07:40.0
172,173,2025-07-07,0,25.78,19.31,COMPLETED,2025-05-17 19:09:39.0
173,174,2025-08-12,0,22,5.45,COMPLETED,2025-05-19 22:56:35.0
174,175,2025-10-02,0,5.98,22.47,COMPLETED,2025-08-03 16:25:29.0
175,176,2025-07-25,0,30.04,27.42,PENDING,2025-07-08 17:45:33.0
176,177,2025-07-02,0,31.55,1.66,COMPLETED,2025-07-19 08:35:38.0
177,178,2025-10-18,0,27.27,14.7,COMPLETED,2025-01-20 19:28:44.0
178,179,2025-01-15,0,8.26,8.15,COMPLETED,2025-11-29 19:33:25.0
179,180,2025-08-29,0,45.07,26.13,COMPLETED,2025-02-17 10:38:26.0
180,181,2025-06-09,0,33.45,11.09,CANCELLED,2025-06-11 08:17:14.0
181,182,2025-08-16,0,15.82,27.05,COMPLETED,2025-03-24 16:22:56.0
182,183,2025-05-31,0,17.06,4.75,COMPLETED,2025-01-15 19:03:18.0
183,184,2026-01-01,0,14.9,3.79,COMPLETED,2025-06-11 08:52:28.0
184,185,2025-12-10,0,18.77,8.96,COMPLETED,2025-10-06 20:24:54.0
185,186,2025-04-26,0,16.53,21.32,PENDING,2025-07-09 14:00:09.0
186,187,2025-07-02,0,44.5,23.58,COMPLETED,2025-03-29 02:34:35.0
187,188,2025-10-06,0,5.89,17.14,COMPLETED,2025-02-27 11:51:12.0
188,189,2025-05-19,0,8.97,2.03,COMPLETED,2025-02-26 23:11:16.0
189,190,2025-03-28,0,41.43,10.37,COMPLETED,2025-11-17 08:14:07.0
190,191,2025-03-06,0,11.85,14.93,CANCELLED,2025-10-06 16:14:11.0
191,192,2025-04-27,0,30.59,17.56,COMPLETED,2025-12-12 10:14:03.0
192,193,2025-08-27,0,28.45,12.26,COMPLETED,2025-12-10 02:50:45.0
193,194,2025-11-20,0,30.53,13.11,COMPLETED,2025-11-26 00:04:51.0
194,195,2025-07-10,0,10.69,12.2,COMPLETED,2025-05-11 07:33:30.0
195,196,2025-10-09,0,25.48,20.82,PENDING,2025-10-04 02:16:08.0
196,197,2025-09-04,0,12.42,26.27,COMPLETED,2025-03-16 23:08:59.0
197,198,2026-01-01,0,23.87,22.61,COMPLETED,2025-02-01 04:57:12.0
198,199,2025-07-29,0,38.97,16.57,COMPLETED,2025-08-07 22:03:10.0
199,200,2025-03-18,0,17.22,18.37,COMPLETED,2025-02-14 06:24:42.0
200,201,2025-08-20,0,12.51,26.72,CANCELLED,2025-08-14 11:43:21.0
201,202,2025-06-12,0,48.83,1.2,COMPLETED,2025-11-13 18:31:07.0
202,203,2025-10-26,0,23.98,17.07,COMPLETED,2025-12-22 13:38:00.0
203,204,2025-10-08,0,5.3,13.47,COMPLETED,2025-10-26 11:26:53.0
204,205,2025-09-19,0,20.83,3.82,COMPLETED,2025-04-16 15:12:02.0
205,206,2025-01-17,0,19.23,1.98,PENDING,2025-03-13 23:38:32.0
206,207,2025-10-03,0,46.64,16.21,COMPLETED,2025-01-23 20:28:52.0
207,208,2025-03-13,0,5.74,2.25,COMPLETED,2025-02-15 13:49:46.0
208,209,2025-09-27,0,17.28,3.64,COMPLETED,2025-03-09 23:35:53.0
209,210,2025-08-09,0,36.07,13.76,COMPLETED,2025-06-18 16:44:23.0
210,211,2025-06-12,0,24.16,26.69,CANCELLED,2025-09-27 12:36:54.0
211,212,2025-08-10,0,12.89,5.73,COMPLETED,2025-04-05 07:24:39.0
212,213,2025-12-04,0,33.54,6.13,COMPLETED,2025-03-22 13:52:11.0
213,214,2025-06-12,0,33.48,22.73,COMPLETED,2025-05-11 17:31:10.0
214,215,2025-12-09,0,23.51,12.21,COMPLETED,2025-08-10 10:04:10.0
215,216,2025-01-16,0,7.25,3.12,PENDING,2025-07-11 14:54:30.0
216,217,2025-05-04,0,34.04,27.25,COMPLETED,2025-05-05 00:57:29.0
217,218,2025-05-03,0,44.15,23.77,COMPLETED,2025-02-17 12:45:33.0
218,219,2025-04-04,0,49.24,2.1,COMPLETED,2025-08-14 19:29:45.0
219,220,2025-07-17,0,13.86,18.74,COMPLETED,2025-08-26 02:38:05.0
220,221,2025-06-22,0,36.57,23.75,CANCELLED,2025-08-10 04:20:14.0
221,222,2025-05-21,0,40.66,17.94,COMPLETED,2025-08-25 05:55:28.0
222,223,2025-05-08,0,26.49,8.93,COMPLETED,2025-08-12 19:04:35.0
223,224,2025-04-17,0,28.09,3.28,COMPLETED,2025-10-02 03:30:00.0
224,225,2025-12-17,0,40.59,29.64,COMPLETED,2025-11-28 18:16:35.0
225,226,2025-12-26,0,47.67,20.69,PENDING,2025-02-24 14:20:26.0
226,227,2025-06-01,0,14.68,7.58,COMPLETED,2025-12-14 14:27:47.0
227,228,2025-03-16,0,21.25,2.69,COMPLETED,2025-05-20 08:56:08.0
228,229,2025-12-02,0,12.69,25.73,COMPLETED,2025-05-24 16:22:25.0
229,230,2025-03-11,0,34.59,26.9,COMPLETED,2025-08-27 15:25:48.0
230,231,2025-11-28,0,13.04,4.28,CANCELLED,2025-08-06 06:06:19.0
231,232,2025-08-26,0,43.88,6.36,COMPLETED,2025-03-09 14:51:30.0
232,233,2025-04-05,0,6.15,16.57,COMPLETED,2025-07-01 00:56:42.0
233,234,2025-11-20,0,18.09,8.75,COMPLETED,2025-11-09 05:49:45.0
234,235,2025-02-12,0,5.52,15.68,COMPLETED,2025-07-22 04:16:49.0
235,236,2025-11-17,0,33.91,2.07,PENDING,2025-03-28 08:02:29.0
236,237,2025-05-21,0,10.69,2.71,COMPLETED,2025-06-14 06:31:54.0
237,238,2025-11-11,0,48.74,20.14,COMPLETED,2025-11-02 21:29:23.0
238,239,2025-01-24,0,9.52,17.25,COMPLETED,2025-08-09 12:17:42.0
239,240,2025-03-22,0,43.88,22.25,COMPLETED,2025-08-23 03:21:05.0
240,241,2025-10-16,0,39.37,18.87,CANCELLED,2025-01-22 16:09:17.0
241,242,2025-05-20,0,19.64,25.01,COMPLETED,2026-01-01 16:39:22.0
242,243,2025-11-07,0,21.15,4.44,COMPLETED,2025-01-14 21:35:19.0
243,244,2025-09-25,0,46.85,6.1,COMPLETED,2025-04-06 16:30:49.0
244,245,2025-09-23,0,12.75,1.59,COMPLETED,2025-06-24 22:13:22.0
245,246,2025-03-14,0,43.02,2.23,PENDING,2025-04-16 20:03:29.0
246,247,2025-11-27,0,9.38,29,COMPLETED,2025-01-29 01:34:00.0
247,248,2025-11-17,0,5.01,17.46,COMPLETED,2025-11-16 06:38:29.0
248,249,2025-04-05,0,10.51,14.16,COMPLETED,2025-03-25 06:56:45.0
249,250,2025-01-25,0,43.91,24.98,COMPLETED,2025-03-16 01:16:23.0
250,251,2025-07-19,0,12.99,17.8,CANCELLED,2025-07-25 04:59:46.0
251,252,2025-02-18,0,42.61,29,COMPLETED,2025-10-04 12:50:53.0
252,253,2025-10-05,0,31.14,29.49,COMPLETED,2025-05-21 13:42:16.0
253,254,2025-04-29,0,39.89,4.91,COMPLETED,2025-09-01 02:25:00.0
254,255,2025-03-05,0,31.18,28.03,COMPLETED,2025-03-24 20:56:43.0
255,256,2025-09-15,0,22.8,6.42,PENDING,2025-01-28 22:05:17.0
256,257,2025-07-21,0,30.75,24.25,COMPLETED,2025-10-07 00:47:45.0
257,258,2025-03-29,0,5.12,18.47,COMPLETED,2025-03-30 21:12:58.0
258,259,2025-09-07,0,31.99,1.71,COMPLETED,2025-04-18 21:27:09.0
259,260,2025-05-09,0,5.36,1.53,COMPLETED,2025-08-20 09:03:03.0
260,261,2025-05-10,0,47.65,18.56,CANCELLED,2025-03-04 04:14:02.0
261,262,2025-04-05,0,36.6,16.19,COMPLETED,2025-05-25 21:06:32.0
262,263,2025-05-01,0,22.36,18.75,COMPLETED,2025-09-27 16:53:57.0
263,264,2025-10-09,0,5.62,23.87,COMPLETED,2025-01-25 17:39:29.0
264,265,2025-04-14,0,22.14,22.41,COMPLETED,2025-05-03 22:27:11.0
265,266,2025-03-13,0,30.55,2.88,PENDING,2025-05-30 21:38:35.0
266,267,2025-11-07,0,5.3,12.2,COMPLETED,2025-08-23 18:10:18.0
267,268,2025-04-02,0,11.88,23.19,COMPLETED,2025-06-30 05:25:38.0
268,269,2025-07-03,0,29.18,20.44,COMPLETED,2025-12-06 15:59:16.0
269,270,2025-12-07,0,36.97,18.22,COMPLETED,2025-11-05 23:13:59.0
270,271,2025-01-28,0,23.62,17.27,CANCELLED,2025-12-23 11:50:56.0
271,272,2026-01-06,0,22.59,22.94,COMPLETED,2025-12-07 05:44:38.0
272,273,2025-01-20,0,39.32,13.6,COMPLETED,2025-07-07 13:07:22.0
273,274,2025-06-16,0,8.73,1.61,COMPLETED,2025-03-05 21:54:39.0
274,275,2025-01-30,0,49.62,8.33,COMPLETED,2025-06-23 00:34:59.0
275,276,2025-03-07,0,18,6.09,PENDING,2025-10-19 08:13:27.0
276,277,2025-02-10,0,17.71,12.44,COMPLETED,2025-09-04 03:03:59.0
277,278,2025-04-23,0,22.21,5.41,COMPLETED,2025-04-29 21:24:03.0
278,279,2025-03-29,0,18.48,22.8,COMPLETED,2025-03-07 07:41:47.0
279,280,2025-01-28,0,41.96,21.94,COMPLETED,2025-11-14 20:09:01.0
280,281,2025-04-07,0,41.93,27.35,CANCELLED,2025-09-03 19:00:12.0
281,282,2025-10-18,0,40.39,12.54,COMPLETED,2025-07-20 06:51:47.0
282,283,2025-07-03,0,46.54,20.15,COMPLETED,2025-01-30 14:24:08.0
283,284,2025-01-13,0,39.63,13.16,COMPLETED,2025-02-25 19:21:23.0
284,285,2025-05-04,0,48.01,12.98,COMPLETED,2025-04-17 21:28:38.0
285,286,2025-04-06,0,45.88,24.41,PENDING,2025-04-05 07:27:16.0
286,287,2025-12-20,0,13.37,11.85,COMPLETED,2025-07-02 00:02:32.0
287,288,2025-02-17,0,38.45,1.58,COMPLETED,2025-04-24 01:12:19.0
288,289,2025-03-22,0,12.26,27.62,COMPLETED,2025-12-10 09:09:11.0
289,290,2025-12-16,0,30.81,21.82,COMPLETED,2025-07-31 23:31:53.0
290,291,2025-10-29,0,7.46,10.02,CANCELLED,2025-04-24 02:11:42.0
291,292,2025-11-18,0,30.71,18.07,COMPLETED,2025-07-17 19:32:16.0
292,293,2025-10-11,0,12.41,18.27,COMPLETED,2025-04-21 01:36:21.0
293,294,2025-04-21,0,28.82,28.16,COMPLETED,2025-03-15 20:12:31.0
294,295,2026-01-10,0,17.71,26.91,COMPLETED,2025-11-22 12:09:23.0
295,296,2025-07-03,0,23.8,7.03,PENDING,2025-09-10 09:52:25.0
296,297,2025-12-12,0,31.02,2.28,COMPLETED,2025-12-16 08:31:54.0
297,298,2025-09-09,0,11.19,10.66,COMPLETED,2025-02-18 07:06:44.0
298,299,2026-01-08,0,37.59,14.46,COMPLETED,2025-02-09 16:57:31.0
299,300,2025-07-21,0,22.82,8.72,COMPLETED,2025-09-18 23:31:47.0
300,1,2025-09-06,0,48.63,8.72,CANCELLED,2025-05-26 17:34:29.0
301,2,2025-10-05,0,48.03,17.1,COMPLETED,2025-03-20 11:43:25.0
302,3,2025-08-03,0,41.52,7.7,COMPLETED,2025-06-06 07:53:33.0
303,4,2025-01-16,0,46.67,23.99,COMPLETED,2025-09-28 22:54:05.0
304,5,2025-05-27,0,20.98,24.15,COMPLETED,2025-07-16 08:51:36.0
305,6,2025-04-29,0,46.48,12.38,PENDING,2025-10-07 19:04:15.0
306,7,2025-02-22,0,7.69,20.06,COMPLETED,2025-10-28 05:46:48.0
307,8,2025-02-09,0,14.11,5.32,COMPLETED,2025-09-04 09:39:28.0
308,9,2025-10-12,0,12.19,23.45,COMPLETED,2025-03-26 09:49:05.0
309,10,2025-08-29,0,39.34,5.63,COMPLETED,2025-07-04 04:03:38.0
310,11,2025-08-23,0,17.38,20.7,CANCELLED,2025-09-12 19:50:33.0
311,12,2025-12-20,0,10.66,6.56,COMPLETED,2025-05-23 06:37:01.0
312,13,2025-12-14,0,16.81,13.18,COMPLETED,2025-11-04 19:58:09.0
313,14,2025-09-18,0,34.64,17.91,COMPLETED,2025-10-17 05:59:20.0
314,15,2026-01-01,0,46.56,25.46,COMPLETED,2025-11-01 08:00:34.0
315,16,2025-11-15,0,36.68,6.11,PENDING,2025-05-04 04:52:57.0
316,17,2025-01-23,0,5.23,12.81,COMPLETED,2025-09-01 11:18:01.0
317,18,2025-05-06,0,47.86,24.73,COMPLETED,2026-01-04 05:22:01.0
318,19,2025-05-28,0,26.49,25.04,COMPLETED,2025-04-06 09:33:20.0
319,20,2025-12-26,0,31.29,27.36,COMPLETED,2025-01-24 23:58:20.0
320,21,2025-09-17,0,8.48,12.55,CANCELLED,2025-10-15 22:56:38.0
321,22,2025-03-05,0,37.93,18.32,COMPLETED,2025-10-02 01:54:27.0
322,23,2025-12-13,0,32.79,1.02,COMPLETED,2025-07-02 12:17:25.0
323,24,2025-07-26,0,20.11,7.5,COMPLETED,2025-09-03 03:04:40.0
